company_name,phone,city,state,website,rating,review_count
"Gexa Energy",(866) 961-9399,Houston,TX,www.gexaenergy.com,4.7,27672
"Ezee Fiber",+1 346-768-3001,Houston,TX,ezeefiber.com/?utm_source=gmb&utm_medium=organic&utm_content=gmb-website,4.9,17799
"4Change Energy®",(855) 784-2426,,TX,www.4changeenergy.com,4.5,16910
"Frontier Utilities",(866) 926-8192,Houston,TX,www.frontierutilities.com,4.7,16422
"A#1 Air",(972) 460-0001,Lewisville,TX,anumber1air.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*319*a1-air-lewisville,4.7,12419
"Walmart Supercenter",(954) 453-6538,Fort Lauderdale,TX,www.walmart.com/store/2946-fort-lauderdale-fl/?veh=seo_loc,3.9,12124
"Walmart",(858) 268-2885,San Diego,TX,www.walmart.com/store/5338-san-diego-ca?veh=seo_loc,4,10900
"Walmart Supercenter",(305) 242-4447,Florida City,TX,www.walmart.com/store/2727-florida-city-fl/?veh=seo_loc,4.1,9803
"TXU Energy",(855) 752-0086,,TX,www.txu.com/?WT.mc_id=GGLPLACES,4.7,9782
"Walmart Supercenter",(859) 282-8333,Florence,TX,www.walmart.com/store/1510-florence-ky/?veh=seo_loc,3.6,9199
"Will Fix It",(210) 866-8048,San Antonio,TX,www.willfixit.com/locations?utm_source=google&utm_medium=gbp&utm_campaign=local_seo&utm_content=gbp_website_click,4.6,8775
"IKEA",(888) 888-4532,New Haven,TX,www.ikea.com/us/en/stores/new-haven/?utm_source=google&utm_medium=organic&utm_campaign=map&utm_content=new-haven,4.3,8101
"Walmart Supercenter",(616) 784-2047,Comstock Park,TX,www.walmart.com/store/1923-comstock-park-mi/?veh=seo_loc,3.7,7678
"Walmart Supercenter",(615) 873-2222,Nashville,TX,www.walmart.com/store/4435-nashville-tn/?veh=seo_loc,3.6,7295
"Just Energy",(866) 409-1167,Houston,TX,justenergy.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,4.2,7153
"Walmart Supercenter",(561) 223-4357,Palm Springs,TX,www.walmart.com/store/5882-palm-springs-fl/?veh=seo_loc,4.1,6669
"Walmart Supercenter",(561) 742-0718,Boynton Beach,TX,www.walmart.com/store/2789-boynton-beach-fl/?veh=seo_loc,3.9,6546
"Walmart Supercenter",(931) 553-8127,Clarksville,TX,www.walmart.com/store/673-clarksville-tn/?veh=seo_loc,3.9,6472
"Midland Air Service Experts",(803) 913-8652,Lexington,TX,www.serviceexperts.com/columbia-sc/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,4.9,6258
"Bass Pro Shops",(972) 724-2018,Grapevine,TX,stores.basspro.com/us/tx/grapevine/2501-bass-pro-dr.html?y_source=1_MzAxMTUwOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.5,6207
"Reliant Energy",(866) 222-7100,Houston,TX,www.reliant.com/en/residential/electricity/areas-we-serve/greater-houston-area/houston,4.5,6145
"Stevenson Service Experts",(937) 862-0699,Beavercreek,TX,www.serviceexperts.com/beavercreek-oh/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,4.8,6104
"Walmart Supercenter",(941) 625-2399,Port Charlotte,TX,www.walmart.com/store/721-port-charlotte-fl/?veh=seo_loc,4.1,6035
"Service Experts Heating & Air Conditioning",(919) 823-6631,Raleigh,TX,www.serviceexperts.com/raleigh-nc/?&utm_campaign=listing&utm_medium=organic_search&utm_source=gmb&utm_content=brand,4.9,6016
"Stan's Heating, Air, Plumbing & Electrical",(512) 200-7614,Austin,TX,www.stansac.com/?utm_source=GMB&utm_medium=organic&utm_campaign=GMB,4.7,6007
"Abacus Plumbing, Air Conditioning, & Electrical",(512) 943-7070,Austin,TX,www.abacusplumbing.com/?utm_campaign=gmb_ab-atx_home_everyone_gmb-austin&utm_medium=gmb&utm_source=google,4.8,5861
"Costco Wholesale",(972) 772-1602,Rockwall,TX,www.costco.com/warehouse-locations/rockwall-TX-1049.html?utm_term=KW&utm_campaign=Homepage&utm_medium=GMB&utm_source=Google&utm_content=Link,4.5,5835
"Rhythm Energy",(281) 836-0774,Houston,TX,www.gotrhythm.com,4.7,5452
"Blain's Farm & Fleet - Oak Creek, Wisconsin",(414) 764-6606,Oak Creek,TX,www.farmandfleet.com/stores/blains-farm-and-fleet-of-oak-creek-wisconsin,4.3,5085
"Walmart Supercenter",(772) 336-8212,Port St. Lucie,TX,www.walmart.com/store/4260-port-st-lucie-fl/?veh=seo_loc,3.9,4994
"Quality Home Products of Texas",(281) 955-3400,Houston,TX,qualitytx.com,4.8,4867
"Walmart Supercenter",(509) 543-7934,Pasco,TX,www.walmart.com/store/3380-pasco-wa/?veh=seo_loc,3.9,4584
