Row,Company,Contact Name,Phone,City,Status
1,"Nivo Solar","Nivo Solar","(718) 810-8817","Abilene","not_called"
2,"West Texas Solar","West Texas Solar","(325) 244-1917","Abilene","not_called"
3,"Sunaura Solar","Sunaura Solar","(469) 895-9450","Addison","not_called"
4,"Efficient Home Services","Efficient Home Services","(844) 778-8810","Aledo","not_called"
5,"Sol-Ark HQ","Sol-Ark HQ","(972) 575-8875","Allen","not_called"
6,"Solar Electrical & Retrofit Solutions Inc","Solar Electrical & Retrofit Solutions Inc","(817) 313-4571","Alvarado","not_called"
7,"Amarillo Solar Shade Co.","Amarillo Solar Shade Co.","(806) 214-2345","Amarillo","not_called"
8,"Pure Energy Amarillo Solar","Pure Energy Amarillo Solar","(806) 454-7873","Amarillo","not_called"
9,"Amarillo Solar Pros","Amarillo Solar Pros","(806) 318-8418","Amarillo","not_called"
10,"Panhandle Solar Consultants","Panhandle Solar Consultants","(806) 730-0399","Amarillo","not_called"
11,"Green Energy Specialties","Green Energy Specialties","(940) 464-4219","Argyle","not_called"
12,"Solar Power Systems Arlington","Solar Power Systems Arlington","(817) 774-4819","Arlington","not_called"
13,"Solar Supply","Solar Supply","(817) 402-7657","Arlington","not_called"
14,"Best Way Solar - Solar Installation & Maintenance Services","Best Way Solar - Solar Installation & Maintenance Services","(844) 766-3929","Arlington","not_called"
15,"SolarLife Technology","SolarLife Technology","(817) 677-9100","Arlington","not_called"
16,"Greentech Renewables Dallas","Greentech Renewables Dallas","(972) 972-4510","Arlington","not_called"
17,"Pure Energy Solar Systems","Pure Energy Solar Systems","(817) 512-1710","Arlington","not_called"
18,"Energy Renovation Center - TX","Energy Renovation Center - TX","(682) 222-1490","Arlington","not_called"
19,"CoServ Solar Station","CoServ Solar Station","(940) 321-7800","Aubrey","not_called"
20,"Bright Energy Texas","Bright Energy Texas","(512) 518-5771","Austin","not_called"
21,"Solar Service","Solar Service","(512) 537-0459","Austin","not_called"
22,"Nation Solar inc.","Nation Solar inc.","(512) 379-8332","Austin","not_called"
23,"Solar Efficiency Experts Austin","Solar Efficiency Experts Austin","(512) 649-9050","Austin","not_called"
