Company Name,Website,Phone,City,State,ID,Premium,Safety Score,Rating,Profile URL,Priority Tier,Outreach Method
"Elite Solar Solutions",elitesolar.example.com,5125551234,Austin,TX,bcfd4de0-c397-4c09-803a-fd6a62cdff19,Yes,100,,https://solarinstallerstx.com/installers/undefined,1,Phone Call
"Lone Star Solar",lonestarsolar.example.com,8175551234,Fort Worth,TX,d8a3c058-ae3f-4c6d-9387-80b75c32c670,Yes,100,,https://solarinstallerstx.com/installers/undefined,1,Phone Call
"Elite Solar Solutions",elitesolar.example.com,(512) 555-1234,Austin,TX,7890dd6e-79b9-4fa7-ab5e-b1a0d649d503,Yes,98,,https://solarinstallerstx.com/installers/undefined,1,Phone Call
"Lone Star Solar",lonestarsolar.example.com,(817) 555-1234,Fort Worth,TX,aef851ef-65a4-419e-931b-e75a12c4f408,Yes,98,,https://solarinstallerstx.com/installers/undefined,1,Phone Call
"Alamo Solar Solutions",alamosolar.example.com,(210) 555-2345,San Antonio,TX,bd5952c1-72b6-4a9b-955c-950de44b2adc,Yes,98,,https://solarinstallerstx.com/installers/undefined,1,Phone Call
"Dallas Solar",http://dallassolar.com/,(972) 441-8230,Dallas,Texas,55063423-d38e-4ca7-b217-f3cbc4ace5eb,No,30,,https://solarinstallerstx.com/installers/undefined,3,Contact Form
"Tesla",https://thenehues.com,(512) 516-8177,Austin,TX,7f2f05ad-8e2e-4069-beea-451e2b548b57,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"HAR Renewables",https://harrenewables.com,(512) 921-6763,Austin,TX,ca649298-7b5d-4146-983d-ab72b945aabf,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Signature Solar",,(903) 441-2090,Sulphur Springs,TX,6012324b-e23a-4308-94d9-19009f69afad,No,30,,https://solarinstallerstx.com/installers/undefined,3,Contact Form
"Texas Solar Professional",www.texassolarpro.com,(469) 581-0008,Monterey,TX,3772eb41-f43b-43e9-bc04-d53cf2bc5db8,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Standard",http://standard.com/,(726) 444-5163,San Antonio,Texas,b1d00598-9250-4db0-a19e-2f5a6d9fc71b,No,30,,https://solarinstallerstx.com/installers/undefined,3,Contact Form
"Texas Solar",http://etcsolar.com,(512) 803-9652,Austin,TX,ccf82cf0-40a5-4c3d-a824-b0ca64b59b23,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Luminaz Energy",https://luminazenergy.com,(713) 783-7056,Houston,TX,9690367e-bfec-414d-abda-81488652d771,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Signature Solar",,(903) 441-2090,Sulphur Springs,TX,605b54e8-cccc-4e0d-bc39-d86082f7e3d0,No,30,,https://solarinstallerstx.com/installers/undefined,3,Contact Form
"Solar Alliance",SolarAlliance17.com,(865) 309-4674,San Antonio,TX,daa9e1cc-10ca-45ba-ae7e-509b341373e7,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Evolve Solar Installation",https://friscosolarinstallation.com/,(469) 224-5039,Frisco,Texas,67cea4b2-0862-4a26-aa62-549937e842e6,No,35,,https://solarinstallerstx.com/installers/undefined,3,Contact Form
"Texas Solar Energy",https://texsolarenergy.com,(210) 802-4222,Boerne,TX,35ace066-a91e-491b-b647-dea48e1a197f,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Sunlane Electric",https://sunlaneelectric.com,(210) 414-8695,Boerne,TX,eb30e7b6-f83b-47b8-b6b2-9f597fd8b344,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"E2S Renewables",,(713) 393-7659,Houston,TX,a1445164-4ff1-4eeb-8446-48dc31c7fcdb,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Harvest Solar Inc",https://www.harvestsolarinc.com/,(888) 719-4787,Carrollton,TX,448caff4-9075-4b25-a903-940e2dc1665b,No,73,,https://solarinstallerstx.com/installers/undefined,2,Phone Call
"Freedom Solar Power",,(512) 759-8313,Sulphur Springs,TX,0d288e07-6222-4fd7-8546-e241254b573d,No,30,,https://solarinstallerstx.com/installers/undefined,3,Contact Form
"Sunfinity Solar",https://sunfinity.com/,(844) 786-3461,Dallas,Texas,622d5592-3259-4c84-9b81-06110fbf8b73,No,30,,https://solarinstallerstx.com/installers/undefined,3,Contact Form
