"#","Company","Contact","City","Phone","Email","Website","Status","Notes"
"1","Atma Energy","Atma Energy","San Antonio","(210) 247-2862","info@atma-energy.com","https://atma-energy.com/","not_called",""
"2","Delta Solar Power","Delta Solar Power","San Antonio","(210) 687-7675","","","not_called",""
"3","Power Home Remodeling","Power Home Remodeling","San Antonio","(210) 585-3398","info@powerhrg.com","https://powerhrg.com/","not_called",""
"4","Urban Solar","Urban Solar","San Antonio","(210) 415-8440","","","not_called",""
"5","Pure Energy","Pure Energy","San Antonio","(833) 937-7873","info@pure.solar","http://pure.solar/","not_called",""
"6","Earth Smart Solar TX","Earth Smart Solar TX","San Antonio","(210) 421-5526","info@info.earthsmartsolar.com","https://info.earthsmartsolar.com/main-tx","not_called",""
"7","Solar Sunny-Side UP","Solar Sunny-Side UP","San Antonio","(855) 887-8669","info@solarsunnysideup.com","http://solarsunnysideup.com/","not_called",""
"8","Mission Solar Energy LLC","Mission Solar Energy LLC","San Antonio","(210) 531-8600","info@missionsolar.com","http://www.missionsolar.com/","not_called",""
"9","Sun Action Trackers LLC","Sun Action Trackers LLC","San Antonio","(210) 503-6101","info@sat-energy.com","http://www.sat-energy.com/","not_called",""
"10","Orius Solar Care+","Orius Solar Care+","San Antonio","(210) 384-1014","support@oriusolar.com","http://oriusolar.com/","not_called",""
"11","Lux Energy","Lux Energy","San Antonio","(830) 308-7475","info@luxsolarenergy.com","http://luxsolarenergy.com/","not_called",""
"12","Elevate Electrical Solutions","Elevate Electrical Solutions","San Antonio","(210) 913-1115","info@goelevateelectrical.com","https://goelevateelectrical.com/","not_called",""
"13","Solar Service","Solar Service","San Antonio","(210) 343-2822","hello@solarservice-tx.com","https://solarservice-tx.com/san-antonio/","not_called",""
"14","Central Texas Solar","Central Texas Solar","San Antonio","(210) 635-0007","service@centraltexas.solar","https://centraltexas.solar/","not_called",""
"15","Texas Energy Experts","Texas Energy Experts","San Antonio","(210) 982-0812","","","not_called",""
"16","Energy Solutions Llc","Energy Solutions Llc","San Antonio","(210) 405-7796","info@energysolutions.com","https://www.energysolutions.com/","not_called",""
"17","roofio","roofio","San Antonio","(833) 674-7663","info@roofio.com","https://roofio.com/","not_called",""
"18","SolWel","SolWel","San Antonio","(210) 462-9950","info@solwel.com","https://solwel.com/","not_called",""
"19","Fonroche Lighting America","Fonroche Lighting America","San Antonio","(339) 225-4530","info@fonroche.us","https://www.fonrochesolarlighting.com/","not_called",""
"20","APEX Smart Home","APEX Smart Home","San Antonio","(210) 301-0032","contact@getapexsmart.com","http://getapexsmart.com/","not_called",""
"21","M&M Roofing, Siding & Windows","M&M Roofing, Siding & Windows","San Antonio","(210) 822-6070","info@mmroofsiding.com","https://mmroofsiding.com/locations/san-antonio/roofing/","not_called",""
"22","Greenlight energy","Greenlight energy","San Antonio","(210) 790-1261","info@gl.solar","http://gl.solar/","not_called",""
"23","San Antonio Roof Royale","San Antonio Roof Royale","San Antonio","(512) 400-3113","office@roofroyale.com","https://austinroofroyale.com/san-antonio-roofing-contractors/","not_called",""
"24","Profesional Solar Installation","Profesional Solar Installation","San Antonio","(726) 238-7889","","","not_called",""
"25","Solar Energy House TX","Solar Energy House TX","San Antonio","(726) 256-7177","","","not_called",""
"26","A to Z Solar Maintenance","A to Z Solar Maintenance","San Antonio","(469) 866-5525","info@atozsolarmaintenance.com","http://atozsolarmaintenance.com/","not_called",""
"27","Texas Solar Energy","Texas Solar Energy","San Antonio","(210) 573-3418","","","not_called",""
"28","DKD Energy","DKD Energy","San Antonio","(800) 844-0569","contact@dkdenergy.com","http://www.dkdenergy.com/","not_called",""
"29","Lighthouse Solar","Lighthouse Solar","San Antonio","(512) 710-7538","marketing@lighthousesolartx.com","http://lighthousesolartx.com/","not_called",""
"30","SolarWind Panel Installation San Antonio LLC","SolarWind Panel Installation San Antonio LLC","San Antonio","(726) 762-3214","","","not_called",""
"31","Ecopro Solar Supply","Ecopro Solar Supply","San Antonio","(210) 251-4059","sales@ecoprosolar.com","http://www.ecoprosolar.com/","not_called",""
"32","Erco Energy","Erco Energy","San Antonio","(210) 639-3818","soporte@erco.energy","https://erco.energy/us","not_called",""
"33","Erus Energy","Erus Energy","San Antonio","(844) 272-8336","","","not_called",""
"34","SAT Energy","SAT Energy","San Antonio","(210) 688-4301","info@sat-energy.biz","https://www.sat-energy.biz/","not_called",""
"35","Big Sun Solar","Big Sun Solar","San Antonio","(210) 960-2303","sales@bigsunsolar.com","https://www.bigsunsolar.com/","not_called",""
"36","National Renewable Energy Partners","National Renewable Energy Partners","San Antonio","(855) 858-6737","info@nrep.solar","https://nrep.solar/","not_called",""
"37","Strategic Solar Installation San Antonio","Strategic Solar Installation San Antonio","San Antonio","(833) 435-4213","","","not_called",""
"38","Life Solar Panels","Life Solar Panels","San Antonio","(210) 608-2508","info@lifesolarpanels.com","http://lifesolarpanels.com/","not_called",""
"39","ETW Energy LLC","Manuel Vallejo","San Antonio","(210) 201-4453","","","not_called",""
"40","Lighthouse Solar","Lighthouse Solar","San Antonio","(210) 280-8509","info@lighthousesolar.com","http://www.lighthousesolar.com/","not_called",""
"41","Miguel Rivera","Miguel Rivera","San Antonio","(813) 879-8045","","","not_called",""
"42","Texas Solar","Lois Lopez","San Antonio","(210) 802-4222","info@texas-solar.com","www.texas-solar.com/","not_called",""
"43","Solur Power","Solur Power","San Antonio","(210) 791-0340","info@solurpower.com","https://solurpower.com/location/san-antonio","not_called",""
"44","Standard","Standard","San Antonio","(726) 444-5163","info@standard.com","http://standard.com/","not_called",""
"45","Synergy Electric","Synergy Electric","San Antonio","(210) 704-7610","info@subdomain.synergy-electric.net","https://synergy-electric.net/","not_called",""
"46","Olympus Electric & Solar LLC.","Olympus Electric & Solar LLC.","San Antonio","(210) 236-8314","jennifer.guerra711@olympuselectric210.com","http://www.olympuselectric210.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17496412437298676530","not_called",""
"47","OCI Solar Power Alamo 1 Solar Farm","OCI Solar Power Alamo 1 Solar Farm","San Antonio","(210) 453-3100","%20lgarza@ocienterprises.com","http://ocisolarpower.com/","not_called",""
"48","Olympic Electric & Solar, LLC","David Guerra","San Antonio","(210) 236-8314","info@olympicelectricco.13.com","https://olympicelectricco.13.com","not_called",""
"49","Elias Solar, Inc.","Elias Gonzalez","San Antonio","(713) 239-9133","info@eliassolar.com","https://eliassolar.com","not_called",""
"50","Solar Alliance","Craig Dowdall","San Antonio","(865) 309-4674","info@solaralliance17.com","SolarAlliance17.com","not_called",""
"51","Pure Energy","Ankitha Buduma","San Antonio","(833) 937-7873","info@pure.solar","https://pure.solar","not_called",""
"52","Engel Electric","Stephen Engel","San Antonio","(210) 897-6527","info@engelelectric.com","https://engelelectric.com","not_called",""
"53","3rd Generation","Ryan Foltz","San Antonio","(210) 224-9588","","","not_called",""
"54","Charles Kirk","Charles Kirk","San Antonio","	+44 116 277 3336","admin@aaiye.com","https://biggestbuilder.com/","not_called",""
"55","Solar Electric Texas L.L.C","Charles Gonzales","San Antonio","(210) 802-4222","info@solarelectrictexas.com","http://solarelectrictexas.com","not_called",""
"56","Omosewe Guerra","Omosewe Guerra","San Antonio","(210) 775-2265","","","not_called",""
"57","Stephens Solar Solutions","Stephens Solar Solutions","San Antonio","(210) 785-0994","info@stephenssolar.net","https://www.stephenssolar.net/","not_called",""
"58","Soleil Energy Solutions LLC","Soleil Energy Solutions LLC","San Antonio","(726) 800-4301","info@soleilenergies.com","https://soleilenergies.com/","not_called",""
"59","Longhorn Solar - San Antonio","Longhorn Solar - San Antonio","San Antonio","(210) 566-8000","contact@longhornsolar.com","https://longhornsolar.com/","not_called",""
