Company Name,Phone,City,Profile URL,Notes
"Elite Solar Solutions",5125551234,Austin,https://solarinstallerstx.com/installers/bcfd4de0-c397-4c09-803a-fd6a62cdff19,PREMIUM
"Lone Star Solar",8175551234,Fort Worth,https://solarinstallerstx.com/installers/d8a3c058-ae3f-4c6d-9387-80b75c32c670,PREMIUM
"Elite Solar Solutions",(512) 555-1234,Austin,https://solarinstallerstx.com/installers/7890dd6e-79b9-4fa7-ab5e-b1a0d649d503,PREMIUM
"Lone Star Solar",(817) 555-1234,Fort Worth,https://solarinstallerstx.com/installers/aef851ef-65a4-419e-931b-e75a12c4f408,PREMIUM
"Alamo Solar Solutions",(210) 555-2345,San Antonio,https://solarinstallerstx.com/installers/bd5952c1-72b6-4a9b-955c-950de44b2adc,PREMIUM
"Green Energy Texas",7135551234,Houston,https://solarinstallerstx.com/installers/7b19e1d4-5967-46bd-9b39-ffec04ea31b7,
"Green Energy Texas",(713) 555-1234,Houston,https://solarinstallerstx.com/installers/a298bec4-2c5d-431b-b712-3be4e7011149,
"Texas Sun Power",(915) 555-1234,El Paso,https://solarinstallerstx.com/installers/4aa3733f-d21d-483e-b048-b3cb4f052787,
"DFW Solar Experts",(214) 555-2345,Dallas,https://solarinstallerstx.com/installers/cd5b9d68-e3ae-4532-a52f-7b19321e73f0,
"Tesla",(512) 516-8177,Austin,https://solarinstallerstx.com/installers/7f2f05ad-8e2e-4069-beea-451e2b548b57,
"HAR Renewables",(512) 921-6763,Austin,https://solarinstallerstx.com/installers/ca649298-7b5d-4146-983d-ab72b945aabf,
"Texas Solar Professional",(469) 581-0008,Monterey,https://solarinstallerstx.com/installers/3772eb41-f43b-43e9-bc04-d53cf2bc5db8,
"Texas Solar",(512) 803-9652,Austin,https://solarinstallerstx.com/installers/ccf82cf0-40a5-4c3d-a824-b0ca64b59b23,
"Luminaz Energy",(713) 783-7056,Houston,https://solarinstallerstx.com/installers/9690367e-bfec-414d-abda-81488652d771,
"Solar Alliance",(865) 309-4674,San Antonio,https://solarinstallerstx.com/installers/daa9e1cc-10ca-45ba-ae7e-509b341373e7,
"Texas Solar Energy",(210) 802-4222,Boerne,https://solarinstallerstx.com/installers/35ace066-a91e-491b-b647-dea48e1a197f,
"Sunlane Electric",(210) 414-8695,Boerne,https://solarinstallerstx.com/installers/eb30e7b6-f83b-47b8-b6b2-9f597fd8b344,
"E2S Renewables",(713) 393-7659,Houston,https://solarinstallerstx.com/installers/a1445164-4ff1-4eeb-8446-48dc31c7fcdb,
"Harvest Solar Inc",(888) 719-4787,Carrollton,https://solarinstallerstx.com/installers/448caff4-9075-4b25-a903-940e2dc1665b,
"Pure Energy",(833) 937-7873,San Antonio,https://solarinstallerstx.com/installers/49079d22-28be-415e-83b2-86e62a442c2d,
"Texas Solar Pros",2145551234,Dallas,https://solarinstallerstx.com/installers/afed79a5-35bd-4521-be78-ba322a643cd1,
"Texas Solar Pros",(214) 555-1234,Dallas,https://solarinstallerstx.com/installers/0dbf8210-1834-4573-bc36-f373a335398f,
"John Williams",(512) 451-5511,Austin,https://solarinstallerstx.com/installers/b9c34156-3c08-4f0f-bc97-616df0457ff2,
"Freedom Solar and Electric, LLC",(972) 935-6787,Mansfield,https://solarinstallerstx.com/installers/1a5e9807-bf85-4ae8-a5e0-ef67ae6c86b1,
"Solstice Solar LLC",(281) 801-4211,Houston,https://solarinstallerstx.com/installers/e5556ccd-805d-474b-872e-e5067ef6954a,
"Power up Solar 21 LLC",(916) 824-4650,Katy,https://solarinstallerstx.com/installers/e4770850-c3d4-4392-b927-55759bfcbb95,
"Niro",(832) 756-4800,Pearland,https://solarinstallerstx.com/installers/e4aaffdc-f370-4546-b208-4b00ebd9419d,
"ETW Energy LLC",(210) 201-4453,San Antonio,https://solarinstallerstx.com/installers/074f77d2-42da-4e08-a774-f15e05b8eeec,
"Ecoelectrics, LLC",(512) 717-0660,Austin,https://solarinstallerstx.com/installers/5321ccc3-5131-4a68-b4c4-1762ad5b2fea,
"Jiles Solar Power, LLC",(830) 401-9972,New Braunfels,https://solarinstallerstx.com/installers/3e9fd4b6-470e-4dd5-bfbe-73a0e5ec3190,
"Fortress Power",(877) 497-6937,Bastrop,https://solarinstallerstx.com/installers/da01824d-fc39-499f-9a32-7c56920c6ad0,
"Akam-Energ LLC",(281) 655-3200,Houston,https://solarinstallerstx.com/installers/d6403743-d504-425c-a3d8-464c33f85a30,
"Enpower Off-Grid",(737) 379-9299,Austin,https://solarinstallerstx.com/installers/e0cf58a3-820e-4d74-95c2-1864bc58da87,
